Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
1.59E-06,46,825,2.587807487,GO:1903047 mitotic cell cycle proc. , http://amigo.geneontology.org/amigo/term/GO:1903047, MRE11  MCM2  MCM6  CDC6  RANBP1  CDC25B  MCM4  LIG1  MCM3  CCND3  NCAPH  NAA50  CCNJL  DSCC1  SKP2  CDCA5  INCENP  BUB3  CDC25A  MAD2L1  GINS3  CHEK2  DCTN1  ARID1B  CDK4  SPC24  BMP7  MAPRE1  MYC  CHEK1  LZTS1  EML1  MSH2  MYBL2  RNASEH2B  KIF20B  KIF3B  NOP53  RIPOR2  IK  SPTBN1  RAN  ARL3  ERCC3  PPP1R9B  MAD2L2
5.12E-07,53,992,2.479660816,GO:0006974 cellular response to DNA damage stimulus , http://amigo.geneontology.org/amigo/term/GO:0006974, MRE11  POLD1  MCM2  MCM6  UNG  MSH2  MCM4  DNTT  MCM3  RNF8  MACROD1  PARP1  CDCA5  RADX  ERCC3  MCM7  CHEK2  ALKBH2  XRCC2  ARID1B  MAD2L2  MORF4L2  RNASEH2B  DDX1  LIG1  TRIM32  DYRK2  TRIM28  MYC  RPS3  CHEK1  TONSL  KLHL15  HMCES  TOPORS  PPP5C  CDC5L  ACTR5  PRPF19  SOD2  EEPD1  CHAF1A  FEN1  ZMAT3  TRAF6  HMGN1  NYNRIN  UHRF1  NDRG1  MDM4  KDM1A  NOP53  SOX4
4.59E-08,62,1173,2.453136753,GO:0051276 chromosome organization , http://amigo.geneontology.org/amigo/term/GO:0051276, MBD3  JARID2  MRE11  MCM2  MCM6  MCM4  HELLS  NCAPH  NAA50  CTCFL  DSCC1  CDCA5  BUB3  MAD2L1  MCM7  CHAF1A  HMGN4  TOP1MT  NAP1L1  H2BC12  TOP1  HMGN1  ARID1B  MAD2L2  INCENP  SPC24  GINS3  KDM1A  DDX1  HSP90AA1  MAPRE1  ACTR5  MCM3  MND1  MYC  NOC2L  HLTF  HDAC5  RNF8  SET  MORF4L2  TRIM28  BAHD1  CHEK1  ALKBH4  ERCC3  KDM1B  RAG1  RAG2  SMYD3  HMGN5  UHRF1  PRKCQ  CDC6  MSH2  IK  MYB  GNL3L  RAN  CCT3  FEN1  PARP1
1.74E-05,48,959,2.323008035,GO:0043604 amide biosynthetic proc. , http://amigo.geneontology.org/amigo/term/GO:0043604, RPL31  EXOSC2  DEGS1  POLR2D  ACSS1  RPL29  BDH2  FARSA  MRPS11  TARS3  RPS23  RPS4X  RPL18  RPL18A  RPL34  RPL21  RPL35  RPS24  RPS11  RPL11  RPS8  RPS3A  RPS3  RPL27A  RPS21  RPL38  RPLP2  RPS27  RPL14  RPL37A  RPS29  KHSRP  NANP  LRRC47  B4GALT5  RPL36AL  PA2G4  ELOVL6  BRF1  NCL  SOX4  NOLC1  YBX3  DDX1  ST3GAL5  MYC  ACSF3  ELOVL2
4.06E-05,51,1082,2.187615527,GO:0006396 RNA processing , http://amigo.geneontology.org/amigo/term/GO:0006396, DDX18  CDC5L  PRPF6  ERI1  NOVA2  NOP53  PRPF19  IK  DROSHA  NCL  SF3B6  NOL10  EXOSC2  C9orf78  PRPF4  RPL35  DBR1  SSB  RPS8  POLR2D  RRP1B  RRP1  NOL9  NUDT21  RPS21  DDX23  GEMIN4  MRPS11  SRPK3  ERI2  DDX1  HSPA8  C2orf49  KDM1A  THRAP3  KHSRP  NOP56  RPS3  ANKRD30BL  PA2G4  LRRC8C  NOL8  HMGN1  ARVCF  RPS24  RPL11  RPS27  RPL14  PPP1R9B  NOP58  NOLC1
1.42E-08,88,1937,2.108536548,GO:0007049 cell cycle , http://amigo.geneontology.org/amigo/term/GO:0007049, MRE11  MCM2  MCM6  CDC6  RANBP1  MYBL2  CDC25B  MAPRE1  MCM4  LIG1  MCM3  CCND3  MYB  NCAPH  MND1  NAA50  GADD45G  CCNJL  CDK4  DSCC1  TUBB2A  SKP2  CDCA5  INCENP  SYCP2L  BUB3  CDC25A  MAD2L1  TUBA1A  INSM1  TUBB6  GAS1  GINS3  CHEK2  TUBB4B  DCTN1  ARID1B  SPC24  BMP7  TRIM32  MYC  CHEK1  ATF5  LZTS1  EML1  MOK  MAEA  MSH2  CDC5L  KIF3B  HSPA8  RNF8  MAD2L2  HELLS  CTCFL  MIS18BP1  RAN  CABLES1  RNASEH2B  ARL3  KIF20B  MNS1  IGF1R  RPS3  POU4F1  MCM7  CHAF1A  PRKCE  PRR5  MDM4  UHRF1  TTLL12  ACTR5  NOP53  PRPF19  RIPOR2  IK  SPTBN1  MORF4L2  ALKBH4  ERCC3  FEN1  XRCC2  PPP1R9B  PBK  PPP5C  HERC5  NOLC1
5.55E-05,58,1321,2.037761054,GO:0022402 cell cycle proc. , http://amigo.geneontology.org/amigo/term/GO:0022402, MRE11  MCM2  MCM6  CDC6  RANBP1  CDC25B  MAPRE1  MCM4  LIG1  MCM3  CCND3  NCAPH  MND1  NAA50  CCNJL  DSCC1  SKP2  CDCA5  INCENP  SYCP2L  BUB3  CDC25A  MAD2L1  INSM1  GINS3  CHEK2  DCTN1  ARID1B  CDK4  SPC24  BMP7  MYC  CHEK1  ATF5  LZTS1  EML1  MSH2  MYBL2  KIF3B  RNASEH2B  KIF20B  IGF1R  CDC5L  NOP53  PRPF19  RIPOR2  IK  SPTBN1  RAN  ARL3  RPS3  ALKBH4  ERCC3  FEN1  PRKCE  XRCC2  PPP1R9B  MAD2L2
6.23E-07,89,2160,1.912336601,GO:0033554 cellular response to stress , http://amigo.geneontology.org/amigo/term/GO:0033554, MRE11  POLD1  MCM2  MCM6  UNG  HSP90AA1  MSH2  MCM4  DNTT  ERLIN1  HSPA8  MCM3  RNF8  TMTC4  CRACR2A  MACROD1  MAPKBP1  IGF1R  PARP1  POLR2D  CDCA5  RADX  SESN3  ERCC3  MCM7  KLHL15  TRAF6  CHEK2  ALKBH2  XRCC2  ARID1B  MAD2L2  MORF4L2  RNASEH2B  NPC1L1  MYLK  DDX1  DNAJA1  LIG1  CHKA  STX2  TRIM32  DYRK2  GADD45G  TRIM28  DNAJB1  MYC  PLIN2  RPS3  CHEK1  TONSL  HMCES  TOPORS  PPP5C  RTN4R  CTNNA1  CDC5L  ACTR5  STK24  PRPF19  SOD2  EEPD1  MAX  GLUL  CHAF1A  PBK  SCARA5  FEN1  PRKCE  LRRC8C  ZMAT3  ARPP21  KREMEN1  TLR7  HMGN1  NYNRIN  UHRF1  NDRG1  MDM4  KDM1A  YBX3  NOP53  SOX4  TMTC3  MAGEA3  BMP7  MBTPS1  DNAJB6  DUSP9
8.82E-06,140,4206,1.544851892,GO:0006996 organelle organization , http://amigo.geneontology.org/amigo/term/GO:0006996, MBD3  HPS4  JARID2  MRE11  EML1  RHOBTB1  MCM2  ADD2  MCM6  RANBP1  IFT52  MAPRE1  RUBCNL  RPGRIP1L  VPS18  MCM4  NOP53  PDLIM1  PPP1R9B  STX2  WASF1  SPTBN1  HELLS  NCAPH  MND1  NAA50  LDB3  CTCFL  DSTN  DYNC2I1  NAV1  CEP162  DSCC1  TUBB2A  ARL3  MNS1  FRMD6  ATP8B2  CDCA5  INCENP  SYCP2L  ENAH  BUB3  RHPN1  ALKBH4  MAD2L1  MCM7  TUBA1A  CHAF1A  SPTBN2  CSRP2  BAIAP2  TUBB6  RPS27  MRPS11  HMGN4  TOP1MT  BICD2  NAP1L1  IFT140  TUBB4B  H2BC12  TOP1  DCTN1  HMGN1  ARID1B  MAD2L2  SPC24  F2R  GINS3  PRR5  KDM1A  DDX1  HSP90AA1  BMP7  ACTR5  ARHGEF18  DNAJB6  CHKA  MCM3  HRK  MYC  SERBP1  PLIN2  CHEK1  PLXNB1  ATF5  SIVA1  NTF3  NOC2L  CTNNA1  CYFIP2  HLTF  MAEA  MYBL2  CDC25B  KIF3B  HDAC5  SOD2  RNF8  SET  TRIM32  MORF4L2  TRIM28  RAN  STXBP1  KIF20B  BAHD1  ERCC3  KDM1B  NOLC1  RAG1  CPLX1  PRKCE  RPL38  SH3PXD2B  RAG2  SMYD3  HMGN5  UHRF1  PRKCQ  CDC6  MSH2  RIPOR2  IK  LMNB1  MYB  GNL3L  MBTPS1  RPL11  PARP1  RPS3  CCT3  FEN1  CHEK2  RPS23  XRCC2  ZEB2  PITRM1  SCARB2
5.55E-05,142,4433,1.486684094,GO:0019219 reg. of nucleobase-containing compound metabolic proc. , http://amigo.geneontology.org/amigo/term/GO:0019219, NFYA  KDM1A  IKZF2  ARID1B  THRAP3  TCF7  DNMT3B  CDC5L  MYBL2  ACTR5  KLF5  NOVA2  HDAC5  BACH2  NCL  MYB  TRIM32  CTCFL  SOX4  MAX  KLF16  EXOSC2  TRIM28  RHOXF2  DNAJB1  MYC  FOXN4  NLRC5  POLR2D  HES6  RADX  POU4F1  MIDEAS  PCGF6  MED19  SKI  ELK4  KDM1B  ZBTB39  ATOH8  ATF5  ZEB2  HIC2  ZNF212  INSM1  TRAF6  ZNF519  IRX5  ZBTB33  SOX12  ZHX2  MAGED1  SRPK3  ZFP91  SPIN4  ZNF395  PTMA  MAGEH1  NOC2L  ZNF724  ZNF107  ZNF799  ZNF138  TEAD4  ZNF121  MDM4  RHOXF2B  REPIN1  MAGEA3  ZNF486  CUX1  YBX3  MBD3  MCM2  MCM6  MCM4  MCM3  MAD2L2  MORF4L2  MCM7  UHRF1  PRKCQ  TLE2  HSP90AA1  KHSRP  MSH2  BMP7  PRPF6  SMAD7  COL1A1  HSPA8  RNF8  ACVR2B  SET  DSCC1  TAF4B  PARP1  RPS3  CHEK1  FBP1  TRIM44  NUDT21  PA2G4  KLHL15  F2R  GINS3  CHEK2  SIVA1  JARID2  HLTF  DDX1  FGF9  DNAJB6  PDLIM1  PRPF19  SOD2  CCND3  DROSHA  GLO1  IGF1R  AFF3  ZNF618  RRP1B  NOLC1  HMCES  BRF1  SMYD3  TLR7  TOPORS  HMGN1  TFR2  MRE11  NOP53  SFRP5  GNL3L  BAHD1  CCT3  H2AZ1  SERBP1  HMGN5  CDC6  CDK4
